Chapter,Verse,Sanskrit,English Translation,Summary,Themes
2,47,"कर्मण्येवाधिकारस्ते मा फलेषु कदाचन","You have the right to work, not to the fruits.","Focus on action, not result.","karma, detachment"
2,13,"देहिनोऽस्मिन यथा देहे...","Just as the boy becomes a man, the soul passes on.","The soul is eternal.","soul, immortality"
2,19,"य एनं वेत्ति हन्तारं...","He who thinks the soul can kill or be killed is ignorant.","Soul is indestructible.","soul, ignorance"
2,70,"आपूर्यमाणमचलप्रतिष्ठं...","One not disturbed by desires is peaceful.","Detachment brings peace.","desire, peace"
3,21,"यद्यदाचरति श्रेष्ठः...","Whatever a great man does, others follow.","Leaders inspire by action.","leadership, action"
4,7,"यदा यदा हि धर्मस्य...","Whenever dharma declines, I manifest.","God restores balance.","dharma, divine"
4,38,"न हि ज्ञानेन सदृशं...","Nothing is as pure as true knowledge.","Knowledge purifies.","knowledge, wisdom"
5,10,"ब्रह्मण्याधाय कर्माणि...","One who offers all actions to God is not tainted.","Act without attachment.","action, devotion"
6,5,"उद्धरेदात्मनाऽऽत्मानं...","One must uplift oneself by oneself.","Self-effort is key.","self, independence"
6,26,"यतो यतो निश्चरति...","Wherever the mind wanders, bring it back.","Discipline your mind.","meditation, focus"
6,29,"सर्वभूतस्थमात्मानं...","The yogi sees the Self in all beings.","Oneness with all.","yoga, unity"
7,7,"मत्तः परतरं नान्यत्...","There is nothing beyond Me.","Divine is supreme.","God, devotion"
8,6,"यं यं वापि स्मरन्भावं...","What one remembers at death determines rebirth.","Final thought matters.","rebirth, destiny"
9,22,"अनन्याश्चिन्तयन्तो माम्...","Those devoted to Me are protected.","Faith ensures divine support.","surrender, faith"
11,32,"कालोऽस्मि लोकक्षयकृत्...","I am time, destroyer of worlds.","Time is a divine force.","time, destruction"
